"('Yuvraj Singh', 'P Negi')","[1, 2, 0, 0, 1, 0, 0, 1]"
"('KC Sangakkara', 'PP Chawla')","[2, 1, 0, 0, 0, 0, 0, 1]"
"('KV Sharma', 'R Vinay Kumar')","[1, 1, 1, 0, 1, 0, 0, 0]"
"('DT Christian', 'PJ Cummins')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('SN Thakur', 'Imran Tahir')","[1, 2, 0, 0, 0, 0, 0, 0]"
"('MEK Hussey', 'AN Ahmed')","[1, 2, 0, 0, 0, 0, 0, 0]"
"('M Kartik', 'Z Khan')","[0, 1, 1, 0, 1, 0, 0, 0]"
"('Shoaib Malik', 'SM Pollock')","[1, 0, 0, 0, 0, 0, 0, 1]"
"('Yuvraj Singh', 'Shahid Afridi')","[0, 2, 1, 0, 0, 0, 0, 0]"
"('WP Saha', 'Kuldeep Yadav')","[3, 3, 3, 0, 0, 0, 1, 0]"
"('AP Majumdar', 'STR Binny')","[2, 3, 0, 0, 0, 0, 0, 0]"
"('M Vohra', 'S Ladda')","[0, 4, 1, 0, 1, 0, 1, 0]"
"('R Ashwin', 'MM Patel')","[2, 1, 0, 0, 0, 0, 0, 0]"
"('SB Jakati', 'M Morkel')","[1, 1, 0, 0, 0, 0, 0, 0]"
"('RE van der Merwe', 'YA Abdulla')","[1, 0, 0, 0, 1, 0, 2, 1]"
"('KD Karthik', 'CR Woakes')","[0, 2, 0, 0, 1, 0, 1, 0]"
"('LJ Wright', 'S Nadeem')","[3, 3, 0, 0, 1, 0, 0, 0]"
"('PC Valthaty', 'AM Salvi')","[2, 2, 0, 0, 1, 0, 1, 0]"
"('KD Karthik', 'Mohammed Shami')","[5, 6, 2, 0, 3, 0, 2, 2]"
"('LA Carseldine', 'RG Sharma')","[1, 4, 1, 0, 1, 0, 0, 0]"
"('Basil Thampi', 'BA Stokes')","[2, 1, 0, 0, 0, 0, 0, 0]"
"('RG Sharma', 'Y Nagar')","[3, 2, 0, 0, 0, 0, 0, 0]"
"('JA Morkel', 'TL Suman')","[0, 2, 0, 0, 0, 0, 0, 0]"
"('KK Nair', 'BA Stokes')","[4, 2, 0, 0, 3, 0, 0, 1]"
"('SS Iyer', 'R Vinay Kumar')","[3, 2, 1, 0, 0, 0, 0, 0]"
"('S Dhawan', 'SK Raina')","[15, 13, 0, 0, 1, 0, 2, 2]"
"('Shahid Afridi', 'Mohammad Asif')","[0, 2, 0, 0, 1, 0, 1, 0]"
"('V Sehwag', 'UT Yadav')","[13, 6, 2, 0, 4, 0, 0, 2]"
"('MN van Wyk', 'Harbhajan Singh')","[5, 2, 3, 0, 1, 0, 0, 0]"
"('YK Pathan', 'AB Agarkar')","[5, 3, 0, 0, 4, 0, 1, 0]"
"('YK Pathan', 'D du Preez')","[2, 1, 0, 0, 1, 0, 0, 1]"
"('JD Ryder', 'P Awana')","[3, 2, 0, 0, 0, 0, 0, 0]"
"('Yuvraj Singh', 'MP Stoinis')","[1, 2, 0, 0, 0, 0, 0, 0]"
"('MM Patel', 'BA Bhatt')","[1, 0, 0, 0, 0, 0, 0, 1]"
