Sachin Baby,Anureet Singh,1,1,1,0,0,0,0,0
Sachin Baby,KC Cariappa,2,3,2,0,0,0,0,0
Sachin Baby,MP Stoinis,0,2,1,0,0,0,0,0
AB de Villiers,MP Stoinis,3,8,1,0,1,0,2,0
AB de Villiers,Sandeep Sharma,9,11,2,0,6,0,5,2
Sachin Baby,Sandeep Sharma,0,3,0,0,0,0,0,1
Sachin Baby,MM Sharma,4,2,2,0,0,0,0,0
AB de Villiers,MM Sharma,5,2,3,0,2,0,4,1
TM Head,Sandeep Sharma,3,0,3,0,1,0,0,1
TM Head,MM Sharma,0,1,0,0,0,0,0,0
WP Saha,SR Watson,2,5,1,0,0,0,1,2
WP Saha,VR Aaron,3,4,1,0,1,0,0,1
WP Saha,Iqbal Abdulla,1,3,1,0,0,0,0,0
WP Saha,YS Chahal,8,9,1,0,3,0,0,2
MP Stoinis,SR Watson,2,4,0,0,1,0,0,0
MP Stoinis,CJ Jordan,2,2,3,0,2,0,1,0
MP Stoinis,Iqbal Abdulla,1,1,0,0,0,0,0,0
MP Stoinis,VR Aaron,0,1,0,0,0,0,0,0
MP Stoinis,YS Chahal,0,2,0,0,0,0,0,0
PC Valthaty,B Lee,7,1,1,0,1,0,0,1
PC Valthaty,JH Kallis,0,2,0,0,0,0,0,0
Mandeep Singh,JH Kallis,10,7,0,0,2,0,0,2
Mandeep Singh,SP Narine,9,7,2,0,3,0,0,1
Mandeep Singh,L Balaji,8,4,2,0,6,0,0,1
Mandeep Singh,YK Pathan,5,2,0,0,1,0,1,1
DJ Hussey,R Bhatia,18,21,4,0,3,0,0,0
DJ Hussey,L Balaji,2,4,2,0,0,0,0,0
DJ Hussey,B Lee,2,2,0,0,0,0,0,0
P Dogra,R Bhatia,8,6,0,0,0,0,0,3
AD Mascarenhas,R Bhatia,4,2,1,0,0,0,0,2
P Dogra,B Lee,0,2,0,0,0,0,0,0
AD Mascarenhas,B Lee,2,1,0,0,1,0,0,0
P Dogra,SP Narine,1,0,0,0,0,0,0,1
PP Chawla,SP Narine,6,9,0,0,1,0,0,1
PP Chawla,L Balaji,10,7,2,0,2,0,0,1
BB McCullum,P Kumar,20,3,2,0,4,0,3,1
G Gambhir,AD Mascarenhas,10,10,3,1,2,0,0,3
BB McCullum,AD Mascarenhas,5,1,1,0,1,0,0,1
G Gambhir,Harmeet Singh,1,1,1,0,2,0,1,0
BB McCullum,Harmeet Singh,0,1,0,0,0,0,0,0
BB McCullum,PP Chawla,20,16,1,0,2,0,1,4
G Gambhir,PP Chawla,13,23,3,0,6,0,0,1
MS Bisla,PP Chawla,12,10,1,0,0,0,0,2
MS Bisla,AD Mascarenhas,1,2,2,0,1,0,1,0
MS Bisla,Harmeet Singh,9,8,1,0,2,0,1,0
JH Kallis,PP Chawla,14,19,2,1,2,0,0,0
JH Kallis,BA Bhatt,13,10,1,0,4,0,1,2
G Gambhir,BA Bhatt,7,11,4,0,4,0,0,0
JH Kallis,AD Mascarenhas,3,3,1,0,0,0,0,0
RS Bopara,P Kumar,10,12,1,0,7,0,3,1
MS Bisla,P Kumar,25,6,1,0,1,0,2,1
RS Bopara,DW Steyn,7,8,3,1,2,0,0,0
MS Bisla,DW Steyn,29,9,0,1,6,0,0,0
RS Bopara,JH Kallis,5,13,0,1,3,0,1,1
MS Bisla,JH Kallis,12,4,1,0,3,0,2,1
MS Bisla,A Kumble,6,8,2,0,0,0,1,1
RS Bopara,A Kumble,10,16,2,0,1,0,1,0
RS Bopara,R Vinay Kumar,7,9,2,0,1,0,0,0
MS Bisla,R Vinay Kumar,3,9,1,0,2,0,1,0
RS Bopara,V Kohli,0,4,1,0,1,0,0,0
MS Bisla,V Kohli,3,4,1,0,3,0,1,0
Yuvraj Singh,JH Kallis,9,16,4,0,7,0,3,2
Yuvraj Singh,DW Steyn,9,10,3,0,1,0,0,1
IK Pathan,P Kumar,7,6,0,1,2,0,1,2
MK Pandey,IK Pathan,14,8,2,0,3,0,4,0
JH Kallis,IK Pathan,20,16,3,0,7,0,1,2
MK Pandey,S Sreesanth,6,4,1,0,1,0,0,0
JH Kallis,S Sreesanth,19,7,1,0,3,0,0,0
MK Pandey,YA Abdulla,1,1,0,0,0,0,0,0
JH Kallis,YA Abdulla,12,6,1,0,4,0,1,1
MK Pandey,PP Chawla,3,4,1,0,1,0,0,1
MK Pandey,Yuvraj Singh,3,1,1,0,0,0,1,1
JH Kallis,Yuvraj Singh,8,8,3,0,4,0,2,1
RV Uthappa,PP Chawla,14,17,4,0,4,0,0,1
RV Uthappa,Yuvraj Singh,7,6,3,0,1,0,0,2
RV Uthappa,YA Abdulla,0,3,0,0,1,0,1,0
RV Uthappa,S Sreesanth,3,6,3,0,2,0,6,0
RV Uthappa,Bipul Sharma,9,8,3,0,0,0,2,1
JH Kallis,Bipul Sharma,2,2,2,0,2,0,3,0
V Kohli,RS Bopara,5,6,0,0,0,0,1,1
JH Kallis,RS Bopara,4,4,1,0,1,0,0,0
V Kohli,Bipul Sharma,3,9,1,0,1,0,1,1
V Kohli,YA Abdulla,2,3,0,0,2,0,0,0
ST Jayasuriya,GD McGrath,6,3,0,0,2,0,0,0
SR Tendulkar,GD McGrath,2,1,0,0,2,0,0,0
SR Tendulkar,MF Maharoof,7,6,0,0,5,0,0,0
ST Jayasuriya,MF Maharoof,11,4,0,0,1,0,1,1
SR Tendulkar,VY Mahesh,1,1,0,0,0,0,0,1
ST Jayasuriya,VY Mahesh,4,3,0,0,3,0,3,1
DR Smith,VY Mahesh,2,2,0,0,0,0,0,1
DR Smith,MF Maharoof,2,2,0,0,0,0,0,0
ST Jayasuriya,A Mishra,4,2,1,0,0,0,1,1
DR Smith,A Mishra,11,17,2,0,2,0,5,1
RV Uthappa,VY Mahesh,5,5,0,0,0,0,2,1
RV Uthappa,A Mishra,34,26,3,0,7,0,4,5
AM Nayar,A Mishra,13,9,1,0,1,0,0,1
SM Pollock,A Mishra,1,3,0,0,0,0,0,0
SM Pollock,GD McGrath,2,3,2,0,2,0,0,0
RV Uthappa,GD McGrath,0,3,0,0,3,0,0,0
SM Pollock,MF Maharoof,1,1,0,0,1,0,0,1
RV Uthappa,MF Maharoof,0,2,0,0,0,0,0,0
G Gambhir,SM Pollock,4,2,0,0,0,0,0,0
V Sehwag,SM Pollock,1,1,0,0,3,0,2,0
G Gambhir,A Nehra,14,11,1,0,2,0,1,1
V Sehwag,A Nehra,14,10,1,0,10,0,2,3
S Dhawan,A Nehra,13,13,1,1,6,0,0,0
S Dhawan,SM Pollock,7,0,0,0,0,0,1,1
