"(4, 'J Botha')","[0.40239043824701193, 0.4103585657370518, 0.05179282868525897, 0.00398406374501992, 0.099601593625498, 0.00398406374501992, 0.027888446215139442, 0.03187250996015936]"
"(4, 2)","[0.3771519238397461, 0.39508131693772314, 0.06433954779849266, 0.004601348671162237, 0.11225704085680285, 0.00015866719555731853, 0.04641015470051567, 0.041332804442681476]"
"(4, 0)","[0.39614658595326435, 0.36620451734687237, 0.06320380134088394, 0.003124389767623511, 0.12282757273969928, 0.0003254572674607824, 0.048167675584195796, 0.045889474711970316]"
"('RS Bopara', 2)","[0.45454545454545453, 0.36363636363636365, 0.07575757575757576, 0.0, 0.045454545454545456, 0.0, 0.06060606060606061, 0.07575757575757576]"
"('RS Bopara', 0)","[0.3493975903614458, 0.4819277108433735, 0.04819277108433735, 0.024096385542168676, 0.07228915662650602, 0.0, 0.024096385542168676, 0.024096385542168676]"
"(2, 2)","[0.4166666666666667, 0.37952380952380954, 0.06571428571428571, 0.002380952380952381, 0.09333333333333334, 0.0, 0.04238095238095238, 0.06142857142857143]"
"(2, 0)","[0.4277480444627419, 0.3659942363112392, 0.07122272540139975, 0.002470152326060107, 0.09757101687937422, 0.0008233841086867024, 0.03417044051049815, 0.06504734458624949]"
"(1, 0)","[0.4085419734904271, 0.3561119293078056, 0.07452135493372607, 0.003240058910162003, 0.11399116347569956, 0.0, 0.043593519882179674, 0.05567010309278351]"
"(4, 1)","[0.3626494940202392, 0.39595216191352345, 0.06899724011039558, 0.0022079116835326588, 0.11481140754369826, 0.0, 0.055381784728610856, 0.0375344986200552]"
"(4, 5)","[0.4040688058220311, 0.3647039364869335, 0.061528283162421434, 0.003804168044988422, 0.11991399272246113, 0.00016539861065167054, 0.04581541515051273, 0.03225272907707575]"
"(0, 2)","[0.33735795454545453, 0.4005681818181818, 0.07741477272727272, 0.004261363636363636, 0.11434659090909091, 0.0, 0.06605113636363637, 0.05539772727272727]"
"(0, 1)","[0.3821656050955414, 0.3970276008492569, 0.05307855626326964, 0.0021231422505307855, 0.10191082802547771, 0.0, 0.06369426751592357, 0.050955414012738856]"
"(0, 'RS Bopara')","[0.26666666666666666, 0.4, 0.0, 0.0, 0.26666666666666666, 0.0, 0.06666666666666667, 0.06666666666666667]"
"(4, 'RS Bopara')","[0.35714285714285715, 0.44642857142857145, 0.03571428571428571, 0.0, 0.09821428571428571, 0.0, 0.0625, 0.05357142857142857]"
"(1, 'T Natarajan')","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"(3, 'T Natarajan')","[0.5, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0]"
"(4, 'T Natarajan')","[0.2702702702702703, 0.43243243243243246, 0.10810810810810811, 0.02702702702702703, 0.10810810810810811, 0.0, 0.05405405405405406, 0.02702702702702703]"
"(3, 0)","[0.4786795048143054, 0.33837689133425036, 0.05089408528198074, 0.002751031636863824, 0.08803301237964237, 0.0, 0.04126547455295736, 0.07290233837689133]"
"('CJ Anderson', 2)","[0.4, 0.3411764705882353, 0.03529411764705882, 0.0, 0.1411764705882353, 0.0, 0.08235294117647059, 0.03529411764705882]"
"('CJ Anderson', 1)","[0.5178571428571429, 0.3392857142857143, 0.07142857142857142, 0.0, 0.03571428571428571, 0.0, 0.03571428571428571, 0.03571428571428571]"
"('K Rabada', 2)","[0.5384615384615384, 0.38461538461538464, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0]"
"('K Rabada', 1)","[0.6666666666666666, 0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111]"
"('CJ Anderson', 3)","[0.5428571428571428, 0.14285714285714285, 0.05714285714285714, 0.0, 0.17142857142857143, 0.0, 0.08571428571428572, 0.02857142857142857]"
"(5, 3)","[0.5169491525423728, 0.3050847457627119, 0.0423728813559322, 0.0, 0.11016949152542373, 0.00847457627118644, 0.01694915254237288, 0.11864406779661017]"
"('K Rabada', 3)","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"(5, 0)","[0.4635108481262327, 0.33727810650887574, 0.07495069033530571, 0.0, 0.10256410256410256, 0.0, 0.021696252465483234, 0.08086785009861933]"
"('K Rabada', 0)","[0.5238095238095238, 0.38095238095238093, 0.0, 0.0, 0.09523809523809523, 0.0, 0.0, 0.09523809523809523]"
"(3, 3)","[0.36423841059602646, 0.2980132450331126, 0.09271523178807947, 0.006622516556291391, 0.16556291390728478, 0.0, 0.0728476821192053, 0.09271523178807947]"
"(5, 2)","[0.46530612244897956, 0.35918367346938773, 0.061224489795918366, 0.0020408163265306124, 0.08775510204081632, 0.0, 0.024489795918367346, 0.06938775510204082]"
"(2, 5)","[0.4209827357237716, 0.351925630810093, 0.057104913678618856, 0.006640106241699867, 0.12616201859229748, 0.0013280212483399733, 0.035856573705179286, 0.05046480743691899]"
"(4, 'K Rabada')","[0.4482758620689655, 0.26436781609195403, 0.08045977011494253, 0.0, 0.1724137931034483, 0.0, 0.034482758620689655, 0.05747126436781609]"
"(2, 'K Rabada')","[0.3157894736842105, 0.42105263157894735, 0.05263157894736842, 0.0, 0.15789473684210525, 0.0, 0.05263157894736842, 0.0]"
"('SR Tendulkar', 'DE Bollinger')","[0.5769230769230769, 0.34615384615384615, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.038461538461538464]"
"(4, 'DE Bollinger')","[0.4339622641509434, 0.3018867924528302, 0.06289308176100629, 0.012578616352201259, 0.12578616352201258, 0.006289308176100629, 0.05660377358490566, 0.031446540880503145]"
"(4, 'Joginder Sharma')","[0.375, 0.35, 0.0625, 0.0, 0.15, 0.0, 0.0625, 0.05]"
"(4, 'S Randiv')","[0.4444444444444444, 0.3888888888888889, 0.05555555555555555, 0.0, 0.09259259259259259, 0.0, 0.018518518518518517, 0.018518518518518517]"
"('A Symonds', 'S Randiv')","[0.625, 0.125, 0.125, 0.0, 0.125, 0.0, 0.0, 0.0]"
"('A Symonds', 2)","[0.4, 0.375, 0.075, 0.0125, 0.0875, 0.0, 0.05, 0.075]"
"('A Symonds', 1)","[0.38095238095238093, 0.40476190476190477, 0.09523809523809523, 0.0, 0.07142857142857142, 0.0, 0.047619047619047616, 0.023809523809523808]"
"('A Symonds', 'Joginder Sharma')","[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
"('A Symonds', 'DE Bollinger')","[0.4444444444444444, 0.4444444444444444, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0]"
"('MEK Hussey', 'MM Patel')","[0.391304347826087, 0.34782608695652173, 0.043478260869565216, 0.0, 0.21739130434782608, 0.0, 0.0, 0.0]"
"(4, 'SL Malinga')","[0.45109211775878444, 0.3513770180436847, 0.06362773029439696, 0.004748338081671415, 0.10541310541310542, 0.0, 0.023741690408357077, 0.04178537511870845]"
"('MEK Hussey', 'SL Malinga')","[0.43243243243243246, 0.40540540540540543, 0.0, 0.0, 0.13513513513513514, 0.0, 0.02702702702702703, 0.05405405405405406]"
"('MEK Hussey', 'AN Ahmed')","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"(4, 'AN Ahmed')","[0.37244897959183676, 0.35714285714285715, 0.07653061224489796, 0.0, 0.1326530612244898, 0.0, 0.061224489795918366, 0.02040816326530612]"
"(4, 'MM Patel')","[0.41346153846153844, 0.3389423076923077, 0.038461538461538464, 0.007211538461538462, 0.14903846153846154, 0.0, 0.052884615384615384, 0.04567307692307692]"
"('MEK Hussey', 5)","[0.391025641025641, 0.3974358974358974, 0.05128205128205128, 0.0, 0.12179487179487179, 0.0, 0.038461538461538464, 0.019230769230769232]"
"('S Badrinath', 5)","[0.40476190476190477, 0.4166666666666667, 0.07142857142857142, 0.0, 0.08333333333333333, 0.0, 0.023809523809523808, 0.023809523809523808]"
"('S Badrinath', 'MM Patel')","[0.52, 0.2, 0.12, 0.0, 0.12, 0.0, 0.04, 0.04]"
"('S Badrinath', 'AN Ahmed')","[0.25, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0]"
"('MEK Hussey', 4)","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0]"
"('S Badrinath', 4)","[0.0, 0.5454545454545454, 0.09090909090909091, 0.0, 0.18181818181818182, 0.0, 0.18181818181818182, 0.0]"
"('MEK Hussey', 1)","[0.319672131147541, 0.4918032786885246, 0.02459016393442623, 0.00819672131147541, 0.12295081967213115, 0.0, 0.03278688524590164, 0.03278688524590164]"
