Kolkata Knight Riders,Z Khan
Kolkata Knight Riders,P Negi
Kolkata Knight Riders,CR Brathwaite
Kolkata Knight Riders,MJ McClenaghan
Kolkata Knight Riders,JJ Bumrah
Kolkata Knight Riders,KH Pandya
Kolkata Knight Riders,KA Pollard
Kolkata Knight Riders,R Vinay Kumar
Kolkata Knight Riders,RV Gomez
Kolkata Knight Riders,A Chandila
Kolkata Knight Riders,KK Cooper
Kolkata Knight Riders,FH Edwards
Kolkata Knight Riders,SB Styris
Kolkata Knight Riders,IC Pandey
Kolkata Knight Riders,JDP Oram
Kolkata Knight Riders,MG Neser
Kolkata Knight Riders,SL Malinga
Kolkata Knight Riders,AG Murtaza
Kolkata Knight Riders,JEC Franklin
Kolkata Knight Riders,K Upadhyay
Kolkata Knight Riders,AC Thomas
Kolkata Knight Riders,MJ Clarke
Kolkata Knight Riders,CRD Fernando
Kolkata Knight Riders,RT Ponting
Kolkata Knight Riders,Mohammad Hafeez
Kolkata Knight Riders,JP Faulkner
Kolkata Knight Riders,KJ Abbott
Kolkata Knight Riders,S Kaul
Kolkata Knight Riders,MG Johnson
Kolkata Knight Riders,Shivam Sharma
Kolkata Knight Riders,GJ Maxwell
Kolkata Knight Riders,MF Maharoof
Kolkata Knight Riders,DL Vettori
Kolkata Knight Riders,PJ Sangwan
Kolkata Knight Riders,S Tyagi
Kolkata Knight Riders,SJ Srivastava
Kolkata Knight Riders,STR Binny
Kolkata Knight Riders,KW Richardson
Kolkata Knight Riders,Kuldeep Yadav
Kolkata Knight Riders,Salman Butt
Kolkata Knight Riders,MN Samuels
Kolkata Knight Riders,RR Bose
Kolkata Knight Riders,VRV Singh
Kolkata Knight Riders,Basil Thampi
Kolkata Knight Riders,AJ Tye
Kolkata Knight Riders,DJG Sammy
Kolkata Knight Riders,SS Shaikh
Kolkata Knight Riders,CA Pujara
Kolkata Knight Riders,OA Shah
Kolkata Knight Riders,S Narwal
Kolkata Knight Riders,DP Vijaykumar
Kolkata Knight Riders,Shahid Afridi
Kolkata Knight Riders,DAJ Bracewell
Kolkata Knight Riders,VR Aaron
Kolkata Knight Riders,T Natarajan
Kolkata Knight Riders,Shoaib Akhtar
Kolkata Knight Riders,WPUJC Vaas
Kolkata Knight Riders,Y Venugopal Rao
Kolkata Knight Riders,DB Ravi Teja
Kolkata Knight Riders,LPC Silva
Kolkata Knight Riders,R McLaren
Kolkata Knight Riders,DE Bollinger
Kolkata Knight Riders,AN Ahmed
Kolkata Knight Riders,RG Sharma
Kolkata Knight Riders,R Tewatia
Kolkata Knight Riders,DM Bravo
Kolkata Knight Riders,CJ Anderson
Kolkata Knight Riders,M Ntini
Kolkata Knight Riders,CK Langeveldt
Kolkata Knight Riders,RS Gavaskar
Kolkata Knight Riders,S Dhawan
Kolkata Knight Riders,V Pratap Singh
Kolkata Knight Riders,Anand Rajan
Kolkata Knight Riders,PC Valthaty
Kolkata Knight Riders,SN Thakur
Kolkata Knight Riders,BA Stokes
Kolkata Knight Riders,J Suchith
Kolkata Knight Riders,HH Pandya
Kolkata Knight Riders,VS Malik
Kolkata Knight Riders,RR Powar
Kolkata Knight Riders,AB McDonald
Kolkata Knight Riders,AM Salvi
Kolkata Knight Riders,Y Nagar
Kolkata Knight Riders,JR Hopes
Kolkata Knight Riders,R Dhawan
Kolkata Knight Riders,GD McGrath
Kolkata Knight Riders,Mohammad Asif
Kolkata Knight Riders,VY Mahesh
Kolkata Knight Riders,Shoaib Malik
Kolkata Knight Riders,V Sehwag
